z153yi8,u5erb551yo,vbi5ustafos,v1sves1l,nj8d1js6mly,zw9u23wfoat,bslnykoygnx,ixet0uzuuoh,bcqe6tdkash,gnyebdyjsq,laedo3e,u3onbs8utn,910alza9eq,qvwwq8qe00,ykri3z1g,gds8lo,zy5q4ch85,snbu4rj,y02zr8iy,oep16bl,hvh8c4,fqs6141,vrhnlr48,v0zfxgo3xh8,47scottr,98nwv2,m8b70rwh
mc_ID_7167,"Married Female with five kids, education: bachelors degree working as professional",130K+,"Hot Beverages from Beverages department, Ordered Brand : BBB Best",22.0946,19.0421,3.0524999999999984,yes,"['Ready Food', 'Bar For Salad']",Full Free,Supermarket,5.14 M,2.313 M,2265.9,3687.71,853.22,569.14,736.907,sanharo ,PE,-8.363166291899267,-36.55908780488775,sao paulo,SP,-23.58359782304825,-46.50714769338705,amount: 5.0
mc_ID_7168,"Single Male with five children, education: partial high school working as manual",120+ monthly,"Magazines from Periodicals department, Ordered Brand : Gauss",22.676,19.7689,2.9071,no,"['Bar For Salad', 'Florist', 'Ready Food', 'Video Store', 'Coffee Bar']",Shelf Emptiers,Gourmet,14.44 M,6.3536 M,1424.85,2200.69,465.54,311.45,616.4078,sao joau de meriti,_RJ,-22.805513458935565,amount: -43.377789256128665,cariacica,3S,-20.29753657631548,-40.40086853731229,4.0
mc_ID_7169,"Single Male with three children, education: partial high school working as professional",110K+,"Jams and Jellies from Baking Goods department, Ordered Brand : Plato",-27.6183,,,-999,"['Bar For Salad', 'Ready Food']",Big Time Discounts,,3.63 M,1.2342 M,2445.91,3228.99,,311.88,501.9754,_sao paulo,SP,data: -23.698976615875125,-46.77651167583237,BRASILIA,DF,val: -15.906466093180695,data: -47.77423989072256,5.0
mc_ID_7170,"Single Female with No children, education: bachelors degree working as management",70K+,"Vegetables from Canned Foods department, Ordered Brand : Pleasant",,9.4484,,yes,"['Bar For Salad', 'Florist', 'Video Store', 'Ready Food', 'Coffee Bar']",Dimes Off,Deluxe,6.4 M,2.816 M,,2841.35,481.98,323.05,602.7575,sao paulo,SP,-23.454003750910267,-46.69883840613622,sant0s,sp,-23.944502325841068,-46.33124278031053,4.0
mc_ID_7172,"Single Female with two children, education: partial high school working as skilled manual",30K+,"Vegetables from Frozen Foods department, Ordered Brand : Carrington",14.376,,measure: nan,yes,"['Coffee Bar', 'Bar For Salad', 'Florist', 'Ready Food']",Super Duper Savers,,4.56 M,1.5504 M,2055.29,3145.51,654.13,436.09,475.93,sao paulo,SP,measure: -23.48487885345376,-46.64249464126611,ibitinga,SP,-21.7664768468313,-48.83154737836604,2.0
mc_ID_7176,"EDUCATION: PARTIAL COLLEGE WORKING AS MANAGEMENT, sINGLE fEMALE WITH TWO CHILDREN",360+ monthly,"Vegetables from Produce department, Ordered Brand : Tell Tale",-19.4781,16.4256,3.052500000000002,no,"['Ready Food', 'Coffee Bar', 'Florist', 'Bar For Salad']",Sale : Double Down,Deluxe,3.3 M,1.023 M,2055.29,3146.65,,436.09,500.7202,jacunda,PA,-4.451447337561674,-49.1179173853258,Sao Paulo,SP,-23.528716250620374,-46.62026515958797,5.0
mc_ID_7177,Single Female with four children - education: partial college working as clerical,30K+,"Jams and Jellies from Baking Goods department, Ordered Brand : CDR",,,,yes,['Coffee Bar'],,,4.8 M,2.4 M,,1966.59,442.92,295.54,309.5637,camacan ,BA,-15.414317002261669,val: -39.497913802834034,RECIFE,Pe ,-8.138173275583135,-34.9322264583223,5.0
mc_ID_7178,"Single Female with three children, education: bachelors degree working as professional",50K+,"Seafood from Seafood department, Ordered Brand : Amigo",11.5125,10.0589,-1.4535999999999998,no,[],Go For It,$upermarket,5.58 M,2.232 M,1507.85,1890.72,227.8,151.9,350.4623,canoas,RS ,-29.927407825667792,val: -51.191704757208896,	Guarulhos,5P,-23.44007914793122,-46.51144923980033,1.0
mc_ID_7179,"Married Female with one child, education: partial high school working as skilled manual",10k,"Fruit from Produce department, Ordered Brand : Tell Tale",19.77 kg,16.8617,2.9072,yes,"['Bar For Salad', 'Ready Food']",Money Savers,Supermarket,3.68 M,1.7664 M,2448.37,3229.91,470.27,,290.0035,Rio De Janeiru,RJ,-22.88071189148247,-43.37148510017898,curitiba,PR,-25.453155877315545,-49.2850395992267,5.0
mc_ID_7180,"Single Male with one kid, education: partial HS working as skilled manual",10K+,"Specialty from Produce department, Ordered Brand : Tell Tale",16.7163,12.3555,4.360800000000001,yes,[],Price Destroyers,Mid-sizE,14.72 M,7.2128 M,2816.96,,449.7,298.5,777.2826,Governador Valadares,Mg,-18.86520721004412,-41.96855586266346,riberao preto,SP,-21.16850440882337,-47.79370519233655,5.0
mc_ID_7181,"Single Female w/ No children, education: partial high school working as manual",10K+,"Kitchen Products from Household department, Ordered Brand : Cormorant",10.524,7.6023,2.9216999999999995,no,['Coffee Bar'],Price Slashers,Supermarket,11.85 M,5.214 M,1236.07,1972.09,440.92,294.56,402.6054,sao paulo,$P,-23.616291253983057,amount: -46.4649462867267,RIBEIRAO PRETO,sp,data: -21.174925033585303,amount: -47.7686162776848,1.0
mc_ID_7186,"Married Male with four kids, education: high school degree working as manual",30K+,"Hygiene from Health and Hygiene department, Ordered Brand : Consolidated",-15.5534,12.6317,2.9216999999999995,yes,"['Coffee Bar', 'Florist', 'Video Store', 'Bar For Salad', 'Ready Food']",Super Duper Savers,Deluxe,7.14 M,2.4276 M,,2147.17,373.1,248.79,266.73,iTaPevi,5P,-23.55266738040897,-46.9176766002288,lbitinga,$P,-21.7664768468313,-48.83154737836604,5.0
mc_ID_7187,"Single Female with No children, education: partial high school working as manual",10K+ annually,"Meat from Deli department, Ordered Brand : Moms",14.8266,11.9049,2.9216999999999995,yes,['Coffee Bar'],Double Your Savings,Supermarket,6.48 M,2.0088 M,1236.07,1969.58,440.92,293.95,493.8689, matinhos ,PR,-25.758995329617274,-48.508339282916765,santo andre,SP,-23.665703457960586,-46.51808196779969,val: 5.0
mc_ID_7189,"Married Female with four children, education: partial high school working as skilled manual",10K+,"Vegetables from Canned Foods department, Ordered Brand : Blue Label",31.8337,data: 30.2347,1.5990000000000002,yes,"['Ready Food', 'Bar For Salad', 'Coffee Bar', 'Florist', 'Video Store']",Big Time Saving,DEluXE,"15.64 ,000,000",7.82 M,1734.5,2575.88,503.07,335.01,279.5435,sao paulo,SP,-23.49310667638064,-46.679616398003326,Ribeireo Pires,SP,-23.73407261059953,amount: -46.44241000920845,5.0
mc_ID_7190,"Single Male with four children, education: partial high school working as manual",10K+,"Frozen Desserts from Frozen Foods department, Ordered Brand : Golden",,451.73 oz,,yes,"['Bar For Salad', 'Florist', 'Video Store', 'Ready Food', 'Coffee Bar']",,Deluxe,3.8 M,1.786 M,1871.16,2863.79,593.93,395.95,688.3726,pirapora_,MG,-17.34199668040074,-44.94194241063118,sao paulo,SP,-23.62358155176294,-46.61056007369148,5.0
mc_ID_7193,"Single Female with one child, education: partial high school working as manual",$10K+,"Candles from Household department, Ordered Brand : Cormorant",-11.7596,-7.3988,4.36 kg,no,[],Sales Days, Supermarket,5.43 M,2.172 M,2048.91,2808.9,457.36,304.91,610.5502,sao paulo,$P,val: -23.56851813765943,-46.65191532569683,teresopolis,rj,-22.428725888669057,amount: -42.97556752642736,val: 5.0
mc_ID_7194,"Marriied Female wiht four children, education: partial high school working as manual",Income: 30K+,"Vegetables from Produce department, Ordered Brand : Tell Tale",,,amount: nan,yes,"['Ready Food', 'Coffee Bar', 'Video Store', 'Florist', 'Bar For Salad']",,,"9.51 ,000,000",4.755 M,,2200.45,465.54,310.3,€665.71,igaracu do tiete,SP,val: -22.51225020394538,-48.55643861501519,bebedour0,SP,-20.928623885001464,-48.49299639722605,4.0
mc_ID_7196,"Married Male with two children, education: partial high school working as skilled manual",10K+,"Meat from Deli department, Ordered Brand : Cutting Edge",,7.0645,-1,yes,"['Ready Food', 'Video Store', 'Coffee Bar', 'Bar For Salad', 'Florist']",,Deluxe,6.99 M,2.4465 M,,2840.96,481.98,321.26,453.9117, osasco,SP_,-23.50120698102153,-46.7987711273679,sao paulo,SP,-23.512538179294825,-46.50108112461768,5.0
mc_ID_7197,"Single Female with four children, education: graduate degree working as professional",110K+,"Snack Foods from Snack Foods department, Ordered Brand : Fort West",-999.0,28.6358,,yes,[],,Mid-Size,7.23 M,3.2535 M,2085.67,3396.55,783.64,521.65,531.4203,RiO De JaneIRO,Rj,-22.8961084117468,-43.18164216911137,ibitinga,SP,-21.7664768468313,-48.83154737836604,1.0
mc_ID_7199,"Single Female with one child, education: high school degree working as professional",70K+,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice",29.944,-1.0,val: 2.9072,yes,[],Roller Savings (High) ,Supermarket,€6.4M,2.7216 M,1508.0,1887.7,227.8,151.9,379.7503,DOIS VIZINHOS,PR,-25.74389872497068,-53.05434104666583,joinville,sc,-26.270134671231133,measure: -48.80876106346335,4.0
mc_ID_7200,"Single Female with one child , education: partial high school working as manual",10000,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice",22.0946,-19.0421,3.0524999999999984,no,[],GLD,Supermarket,"10.98 ,000,000",4.941 M,2050.72,2808.52,459.36,304.91,697.7866,uberlandia,MG,-18.94141413405276,-48.33714543949449,maringa,pr,-23.377396999935016,-51.93100618003307,5.0
mc_ID_7203,"Single Male with No children, education: high school degree working as management",110K+,"Electrical from Household department, Ordered Brand : High Quality",,26.4554,,yes,"['Bar For Salad', 'Florist', 'Coffee Bar', 'Ready Food']",Promo Big,Deluxe,€5.3M,2.0658 M,2055.29,3142.83,654.13,437.49,267.3576,saquarema,RJ,-22.854017712281305,-42.58599145088122,saO JOSe do Rio PREto,SP,-20.80243626346376,-49.39562406741489,val: 5.0
mc_ID_7204,"Single Female with three children, education: bachelors degree working as professional",50K+,"Jams and Jellies from Baking Goods department, Ordered Brand : BBB Best",17.7338,val: nan,measure: nan,no,"['Bar For Salad', 'Ready Food']",Best Savings,,4.77 M,2.1942 M,2448.37,3232.19,470.27,313.55,576.1891,rio de janeiro,RJ,-22.954859287264107,-43.18091709714924,sao paulo,SP,-23.51082058312654,-46.5508611777656,3.0
mc_ID_7205,"Married Male with No children, education: partial high school working as skilled manual",10K+,"Candy from Snacks department, Ordered Brand : Choice",,27.3275,val: nan,no,"['Ready Food', 'Bar For Salad']",,SUPERMARKET,5.52 M,2.76 M,,3687.88,853.22,568.75,339.1132, ri0 grande,RS,-32.04232063459594,-52.12953397213267,POCOS DA CALDAS,MG,-21.801414691524894,-46.54455938110862,5.0
mc_ID_7208,"Single Male with No children, education: bachelors degree working as professional",70k,"Canned Sardines from Canned Foods department, Ordered Brand : Bravo",,-1.0,-0.1,yes,[],Weekend Discount,Mid-Size,10.72 M,4.7168 M,2085.67,3390.04,783.64,521.39,577.7581,augu5tinopolis,TO,val: -5.473586148014865,-47.89170459982213,riBEiRaO pretO,Sp,-21.116471333054424,-47.79073400291418,5.0
mc_ID_7209,"Married Male with four kidren, education: high school degree working as skilled manual",30K+,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Walrus",25.5832,22.676,-2.907200000000003,no,[],Wallet Savers,Supermarket,7.77 M,2.6418 M,2049.33,2813.64,457.36,304.91,418.1385,sao paulo, SP ,-23.56974757197717,-46.65100357197719, sao paulo,SP,data: -23.57714001165677,data: -46.48276229003407,data: 4.0
mc_ID_7210,Single Male with three children | education: high school degree working as skilled manual,30 Thousand,"Seafood from Seafood department, Ordered Brand : Kiwi",26.7461,23.6936,3.0524999999999984,yes,[],One Day Sale,Supermarket,€5.7M,2.7675 M,2049.56,2814.05,457.36,304.91,486.7561,rio de janeiro,RJ,-23.01133469499096,measure: -43.45025641534424,Sao PaUlO,_SP,-23.54516769470249,-46.63224867958328,5.0
mc_ID_7211,"Single Male with three children, education: bachelors degree working as professional",130K+,"Decongestants from Health and Hygiene department, Ordered Brand : Bird Call",30.3801,27.3275,3.052599999999998,yes,"['Bar For Salad', 'Coffee Bar', 'Ready Food', 'Florist', 'Video Store']",You Save Days,Gourmet,7.52 M,3.1584 M,1426.22,2197.29,465.54,310.76,689.3663,sao paulo,SP,-23.685012,amount: -46.71462147835991,salvador,BA,val: -12.9018594223365,-38.404765463046026,5.0
mc_ID_7212,"Single Male with one child, education: high school degree working as manual",10K+,"Bathroom Products from Health and Hygiene department, Ordered Brand : Hilltop",23.6936,data: nan,,no,"['Florist', 'Coffee Bar', 'Ready Food', 'Video Store', 'Bar For Salad']",Price Slashers,,$7.14 M,3.2844 M,1734.5,2572.86,503.07,335.38,282.9953,uberaba,Mg,-19.73715956924808,-47.9403436851232,ribeirao pires,SP,-23.70206320161832,-46.40534820551376,3.0
mc_ID_7213,"Married Male with two children, education: partial high school working as professional",€93K+,"Baking Goods from Baking Goods department, Ordered Brand : BBB Best",,17.8792,,yes,"['Bar For Salad', 'Ready Food']",Full Free,Supermarket,3.56 M,1.1392 M,2265.9,3687.88,853.22,568.75,736.907,5ao paulo,Sp,-23.48870639938831,amount: -46.395040133360254,	ibitinga,SP,-21.7664768468313,-48.83154737836604,4.0
mc_ID_7215,"Married Female with two kids, education: bachelors degree working as management",50K+,"Cleaning Supplies from Household department, Ordered Brand : Sunset",23.8389,20.7864,-3.0524999999999984,yes,[],Mystery Sale,	Supermarket,7.4 M,3.034 M,1623.48,2191.86,341.05,226.05,718.9681,castanhal,PA,-1.3017137525627682,-47.8979704954983,limeira,Sp,-22.56835042131686,-47.44743947974489,1.0/5.0
mc_ID_7217,"Married Female with three kids, education: bachelors degree working as professional.",50 Thousand,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Portsmouth",16.2802,measure: 13.3585,2.9217000000000013,yes,"['Florist', 'Coffee Bar', 'Ready Food', 'Bar For Salad', 'Video Store']",One Day Sale,Gourme7,6.8 M,2.856 M,1424.85,2200.69,465.54,310.3,449.1524,santo antonio de padua,Rj,-21.53063424894017,-42.19299779303212,RiO de jANeirO, rj ,measure: -22.93125598447676,-43.17881321481337,5.0
mc_ID_7218,"Single Female with one child, education: partial high school working as skilled manual",10 Thousand,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel",18.1699,33.65 lbs,2.907199999999998,yes,"['Ready Food', 'Bar For Salad', 'Florist', 'Coffee Bar']",Tip Top Savings,Deluxe ,4.89 M,2.3472 M,2055.29,3145.51,654.13,436.58,745.6934,recife,PE,-8.109659996393315,-34.89334721273588,sao paulo,Sp ,amount: -23.512538179294825,-46.50108112461768,5.0
mc_ID_7219,"Single Male with three kids, education: bachelors degree working as management",70K+,"Baking Goods from Baking Goods department, Ordered Brand : Plato",16.571,13.6492,2.921800000000001,no,"['Ready Food', 'Bar For Salad']",Two for One,Supermarket,$6.88 M,3.096 M,2263.68,3691.93,,568.75,555.426,SAO pAulo,SP,-23.67819995337295,-46.740778559120535,porto ferreira,sp,val: -21.858555070695942,-47.48403458197557,3.0
mc_ID_7220,"MARRIED MALE WITH ONE CHILD , EDUCATION: PARTIAL HIGH SCHOOL WORKING AS SKILLED MANUAL",10K+,"Vegetables from Canned Foods department, Ordered Brand : Better",30.9615,27.909,3.052500000000002,yes,"['Ready Food', 'Coffee Bar', 'Florist', 'Bar For Salad']",Super Savers,Deluxe,4.2 M,1.764 M,2056.35,3146.13,654.13,436.09,373.9973,sorocaba,SP,-23.489741556206333,-47.509921178602326,PIraCicaBA,SP,-22.71683928585045,-47.65736585405934,5.0
mc_ID_7222,"Married Female with five children, education: high school degree working as professional",130K+,"Meat from Deli department, Ordered Brand : Red Spade",,30.0894,,no,"['Ready Food', 'Bar For Salad', 'Florist', 'Video Store', 'Coffee Bar']",,Deluxe,11.04 M,4.7472 M,2038.11,2841.76,481.98,319.28,455.3761,colombo,PR,-25.371298736141743,-49.18823376385825,itaquaquecetuba,5P,-23.48262344063541,-46.37448952833195,5.0
mc_ID_7224,"Single Male with No children, education: bachelors degree working as management",50K+,"Kitchen Products from Household department, Ordered Brand : Sunset",57.68 lbs,21.8039,4.360800000000001,no,['Coffee Bar'],Fantastic Discounts,Small Grocery,5.42 M,2.6016 M,1423.37,2085.01,398.93,265.98,700.8723,caete,Mg,data: -19.883520408537528,-43.66933297389486,Ibitinga,sp,-21.7664768468313,val: -48.83154737836604,1.0
mc_ID_7226,"Married Male with two children, education: partial high school working as manual",30K+,"Meat from Deli department, Ordered Brand : Moms",-23.5482,20.641,2.907200000000003,yes,['Florist'],Save It (Sale),supermarket_,11.55 M,5.082 M,1320.15,,523.32,348.85,427.7617,santa isabel,$p,-23.313367272379296,-46.23184349266853,curitiba,pr,-25.4439745033258,-49.32947681717858,1.0
mc_ID_7227,"Married Female with two children, education: partial high school working as manual",10K+ annually,"Bathroom Products from Health and Hygiene department, Ordered Brand : Faux Products",measure: nan,25.7286,,yes,"['Coffee Bar', 'Ready Food', 'Bar For Salad', 'Video Store', 'Florist']",,deluxe,6.87 M,2.061 M,1871.16,,593.93,394.01,516.7763, pato br4nco,Pr,-26.23324352784424,-52.651170817242686,SAO PAULU,sp,-23.59798552039933,-46.55547278711988,5.0
mc_ID_7230,"Single_Female_with_two_kids,_education:_bachelors_degree_working_as_professional",30K+,"Eggs from Eggs department, Ordered Brand : National",data: 24.1296,21.2225,-2.9071,no,"['Florist', 'Ready Food', 'Bar For Salad', 'Coffee Bar']",Sale : Double Down,Deluxe,2.79 M,1.0602 M,###,3145.51,654.13,436.09,data: 500.7202,ipatinga,MG,-19.4780955431646,-42.55679483097696,ri0 de janeiro, RJ ,data: -22.8860986389002,-43.3108898963299,4.0
mc_ID_7231,"Single Male with two children, education: partial college working as skilled manual",$30K+,"Breakfast Foods from Frozen Foods department, Ordered Brand : PigTail",data: 21.3678,,,no,"['Ready Food', 'Bar For Salad']",Big Time Discounts,,1.53 M,0.5967 M,2448.37,,470.27,,501.9754,taubate,SP,-23.0160027253675,-45.582021391676,ilic1nea,MG,-20.944705621834668,val: -45.82709818233235,4.0
mc_ID_7233,"Single Female with one child, education: high school degree working as professional",110K+,"Meat from Deli department, Ordered Brand : Lake",13.8673,12.3991,1.4681999999999995,yes,"['Ready Food', 'Bar For Salad', 'Florist', 'Video Store', 'Coffee Bar']",Lottery Cash Registerion,De1uxe,6.78 M,2.9154 M,1734.92,2571.7,503.07,,290.7357,SaNtA ritA Do SAPucAI, MG ,data: -22.243203015748463,-45.71330344759827,canoas,R5,-29.914668849530724,-51.14844143722624,5.0
mc_ID_7235,"single male with no childern, education: graduate degree working as professional",130K+,"Bathroom Products from Health and Hygiene department, Ordered Brand : Bird Call",27.4729,24.4204,3.0524999999999984,yes,['Coffee Bar'],Weekend Discount,supermarket,4.29 M,1.9734 M,1236.07,1970.94,440.92,293.95,data: 364.1649,duque de caxia5,RJ,-22.74908369187804,-43.30562478541481,SAO JOSE DO RIO PRETO,Sp,-20.84380119949777,-49.36891118527178,1.0
mc_ID_7238,"Single Female with four children, education: high school degree working as manual, education: high school degree working as manual",30K+,"Magazines from Periodicals department, Ordered Brand : Mighty Good",26.6008,25.0018,1.5990000000000002,yes,[],Price Destroyers,Supermarket,6.56 M,2.7552 M,1506.81,1890.45,227.8,152.85,635.1312,sao paulo,,-23.64061866639731,-46.69656570788847,SAO PAULO,$P,-23.591084982514857,-46.61326277699232,5.0
-999,"Single Male with three children, education: graduate degree working as professional",130 Thousand,"Jams and Jellies from Baking Goods department, Ordered Brand : BBB Best",13.6347,,,yes,"['Coffee Bar', 'Florist']",Shelf Clearing Days,Mid-Size,3.3 M,1.254 M,2551.4,3200.69,389.54,258.12,val: 267.5668,uberlandia,Mg,-18.91595976602804,-48.278974174995646,belo horizonte,MG,-19.878513898894187,-43.95694702879617,4.0
mc_ID_7240,"Married Female with one child, education: partial high school working as skilled manual",10K+,"Vegetables from Frozen Foods department, Ordered Brand : PigTail",10.9601,334.82 oz,1.4680999999999995,yes,"['Ready Food', 'Bar For Salad']",Wallet Savers,Supermarket,11.85 M,4.1475 M,2446.85,3232.19,470.27,312.14,324.8876,curitiba,PR,-25.393345281980704,-49.35098627800838,sao paulo,Sp,amount: -23.541941545934563,data: -46.49095488842404,1.0
mc_ID_7241,"Single Female with one child, education: bachelors degree working as professional",600+ monthly,"Candles from Household department, Ordered Brand : Denny",29.3626,26.4554,2.9072,yes,['Coffee Bar'],Coupon Spectacular,Small Grocery ,€2.5M,1.298 M,2069.04,2620.42,330.83,220.87,473.7334,sete lagoas,MG,amount: -19.42971029829401,-44.22506352397885,ibitinga,_SP,-21.7664768468313,-48.83154737836604,3.0
mc_ID_7243,"Single Female with two children, education: partial high school working as skilled manual",120+ monthly,"Vegetables from Produce department, Ordered Brand : Ebony",10872.90 grams,6.5121,4.360799999999999,no,[],Price Winners,$upermarket,8.84 M,3.6244 M,2050.46,2811.99,457.36,306.38,497.9483,curitib4,PR,-25.383237045242065,-49.23195552997861,uba,MG,-21.120087446232457,-42.91067895264525,5.0
mc_ID_7244,"Married Male with four children, education: high school degree working as professional",1080+ monthly,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice",12.6608,,,no,"['Coffee Bar', 'Florist', 'Bar For Salad', 'Ready Food']",Promo Big,,2.46 M,0.9594 M,2055.29,3147.04,654.13,436.09,267.3576,novo hamburgo,RS,-29.684009472963563,-51.128338877236175,sorocaba,SP,-23.46869789434737,-47.438978129410216,1.0
mc_ID_7245,"Single Male with one child, education: partial college working as management",Income: 30K+,"Candy from Snacks department, Ordered Brand : Musial",23.2575,20.3503,2.9072,no,['Florist'],Saving Days,Sup3rmarket,"13.72 ,000,000",4.2532 M,1320.15,2192.32,523.32,348.85,435.4498,belo horizonte,MG,amount: -19.928905082982308,-43.99811505412885,b3lo horizonte,SP,-19.81011863229108,amount: -43.98472732006267,5.0
mc_ID_7248,"Single Male with one child, education: partial high school working as skilled manual",50K+,"Kitchen Products from Household department, Ordered Brand : Red Wing",11.0037,8.0965,measure: 2.9072,yes,"['Florist', 'Ready Food', 'Coffee Bar', 'Bar For Salad']",Tip Top Savings,Deluxe,5.8 M,2.146 M,2055.29,3145.51,654.13,436.09,745.6934,taquarituba,SP,-23.546936026090403,-49.24424537825799,ViDeiRa,_5C,-27.00086872288371,data: -51.14532022116548,5.0
mc_ID_7249,"Married Male with one child, education: bachelors degree working as management",50K+,"Breakfast Foods from Breakfast Foods department, Ordered Brand : Radius",19.0421,14.6813,4.360800000000001,yes,"['Bar For Salad', 'Ready Food', 'Video Store', 'Florist', 'Coffee Bar']",Super Savers,De1uxe,7.59 M,3.036 M,1525.28,2147.17,375.1,248.79,755.9442,sao paulo,SP,-23.552100149323145,-46.4452853997018,sao paulo,sP,-23.4719444074384,-46.59864459256161,4.0
mc_ID_7250,"Single Female with one child, education: bachelors degree working as professional",130K+,"Bathroom Products from Health and Hygiene department, Ordered Brand : Steady",16.7163,12.3555,4.360800000000001,yes,"['Video Store', 'Florist', 'Ready Food', 'Coffee Bar', 'Bar For Salad']",Sale Sale Sale,Deluxe,3.6 M,1.512 M,1525.28,2151.61,373.1,248.79,722.6814,AMPARO,SP,-22.70951794670785,-46.769180893559934,suzano,SP,-23.54736980354735,-46.30311358926496,4.0
mc_ID_7252,"Married Male with No children, education: high school degree working as management",70K+,"Electrical from Household department, Ordered Brand : Denny",30.8162,29.3626,1.453599999999998,no,['Coffee Bar'],Savings Galore,Supermarket,4.54 M,1.7252 M,1236.07,1969.81,440.92,293.95,724.5119,CURI7IBA,PR,-25.432110597005,-49.25976793963871,araraquara,SP,-21.760806096824155,-48.17228519205648,val: 5.0
mc_ID_7254,"Married Female w/ two children, education: batchelors degree working as professional",10K+,"Candy from Snacks department, Ordered Brand : Thresher",,25.874,,no,['Coffee Bar'],Budget Bargains,Supermarket,$6.84 M,2.8044 M,1236.07,1973.4,440.92,,687.5358,xambioa,TO,-6.415294198340962,-48.53671181405055,sao paulo,SP,-23.554079433810344,-46.53324185942636,1.0
mc_ID_7255,"MARRIED MALE WITH FOUR CHILDREN, EDUCATION: HIGH SCHOOL DEGREE WORKING AS SKILLED MANUAL",Income: 30K+,"Jams and Jellies from Baking Goods department, Ordered Brand : Plato",30.3801,-25.874,4.5061,no,"['Ready Food', 'Bar For Salad', 'Coffee Bar', 'Florist', 'Video Store']",Price Slashers,deluxe,2.19 M,0.9198 M,1525.28,2151.25,373.1,248.79,403.9652,p4racuru,çE,-3.412320267097392,-39.03098931818123,,,,,1.0
mc_ID_7256,"Married Male with three children, education: bachelors degree working as management",50K+,"Vegetables from Produce department, Ordered Brand : Ebony",10.8729,,,no,"['Coffee Bar', 'Ready Food', 'Florist', 'Bar For Salad', 'Video Store']",Shelf Emptiers,,4.42 M,2.0332 M,1424.85,2200.69,467.54,310.3,564.2647,conselheiro lafaiete,MG,-20.65508512021201,measure: -43.76954779180918,sao paulo,_SP,amount: -23.59272363197529,-46.6315844403312,Rating: 5.0
mc_ID_7257,"Single Male with No children, education: partial high school working as skilled manual",10K or more,"Meat from Deli department, Ordered Brand : Red Spade",val: 29.3626,25.0018,-4.360800000000001,no,['Coffee Bar'],Discount Frenzy,Supermarket ,€7.0M,2.7126 M,1236.59,1970.94,440.92,293.95,745.0135,bage,rs,-31.31124851159016,-54.09360649811303,dracena,SP,-21.4988715,measure: -51.53786099999999,5.0
mc_ID_7260,"Single Male with No children, education: partial high school working as manual",10K+,"Canned Soup from Canned Foods department, Ordered Brand : Better",12.6899,-1.0,2.9217999999999997,yes,"['Video Store', 'Coffee Bar', 'Ready Food', 'Bar For Salad', 'Florist']",Three for One,DELUXE,11.22 M,3.366 M,1871.16,2861.13,593.93,395.95,688.3726,iguatu,ce,amount: -6.360208523390892,-39.29484034083242,sao paulo,SP,-23.479316999999995,-46.5904340471753,5.0
mc_ID_7261,"Single_Female_with_one_child,_education:_partial_HS_working_as_manual",10K+,"Jams and Jellies from Baking Goods department, Ordered Brand : Super",15.6988,,,no,"['Florist', 'Coffee Bar', 'Ready Food', 'Bar For Salad', 'Video Store']",Lottery Cash Registerion,,"1.06 ,000,000",0.4876 M,1732.16,2575.0,505.07,335.38,646.4803,ubarlandia,MG,-18.91595976602804,measure: -48.278974174995646,extrema, MG,-22.843339095273503,measure: -46.320408988369685,1.0
mc_ID_7264,"Married Male with four children, education: bachelors degree working as professional",50K or more,"Vegetables from Produce department, Ordered Brand : Ebony",10.5531,-9.0995,1.4535999999999998,no,"['Video Store', 'Bar For Salad', 'Coffee Bar', 'Ready Food', 'Florist']",I Cant Believe It Sale,Deluxe,3.6 M,1.116 M,1734.5,2569.89,503.07,335.38,363.3281,SANta bArBAra d'oEStE,SP,-22.73098895310133,-47.4093459022908,CAMPO LIMPO PAULISTA,SP,-23.20706431353269,-46.760735214610754,5.0
mc_ID_7265,"Married Male with three kidren, education: bachelor'ss degree working as professional",70 Thousand,"Canned Soup from Canned Foods department, Ordered Brand : Better",10.8583,7.9366,2.9216999999999995,no,['Coffee Bar'],Savings Galore,Supermarket,15.92 M,6.5272 M,1236.07,1966.03,,293.95,724.5119,Jandira_,SP,measure: -23.53965499040152,-46.90405595391511,piracicaba,sp,-22.71683928585045,-47.65736585405934,5.0
mc_ID_7266,"Single Male with No children, education: partial high school working as manual",$10K+,"Vegetables from Produce department, Ordered Brand : High Top",19.6235,measure: 16.7163,2.9072,yes,"['Coffee Bar', 'Florist', 'Bar For Salad', 'Ready Food']",Shelf Emptiers,Gourmet,3.72 M,1.5996 M,1563.11,,385.45,256.97,773.0986,RlO de jANEIRo,RJ,-22.86943483957529,-43.55443024078128,sao jose do rio preto,SP,-20.80243626346376,-49.39562406741489,5.0
